,Position,Artists,Songs,Genre,Danceability,Energy,Duration
75,76,Migos Featuring YoungBoy Never Broke Again,Need It,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",0.852,0.745,195.68054
76,77,Juice WRLD & Trippie Redd,Tell Me U Luv Me,"['chicago rap', 'melodic rap']",0.66,0.76,180.12933
77,78,Juice WRLD,Up Up And Away,"['chicago rap', 'melodic rap']",0.661,0.665,147.54753
78,79,Juice WRLD,Fighting Demons,"['chicago rap', 'melodic rap']",0.707,0.67,200.62894
79,80,Morgan Wallen,More Than My Hometown,"['contemporary country', 'country road', 'deep talent show']",0.621,0.882,216.57333
80,81,Jhene Aiko Featuring H.E.R.,B.S.,"['alternative r&b', 'pop', 'r&b', 'urban contemporary']",0.617,0.525,212.86667
81,82,Don Toliver,After Party,"['rap', 'trap']",0.629,0.692,167.91592
82,83,Trevor Daniel x Selena Gomez,Past Life,"['alternative r&b', 'melodic rap', 'pop rap']",0.612,0.539,186.48
83,84,surf mesa Featuring Emilee,ily,['tropical house'],0.674,0.774,176.54668
84,85,Rod Wave,Girl Of My Dreams,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",0.39,0.472,202.0
85,86,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,['contemporary country'],0.516,0.745,173.17332
86,87,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'southern hip hop', 'trap']",0.837,0.482,169.53162
87,88,Luke Combs Featuring Eric Church,Does To Me,['contemporary country'],0.616,0.849,223.32
88,89,Juice WRLD,Man Of The Year,"['chicago rap', 'melodic rap']",0.621,0.695,136.4082
89,90,AJR,Bang!,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'viral pop']",0.706,0.786,199.38667
90,91,Ashley McBryde,One Night Standards,"['arkansas country', 'contemporary country', 'country', 'country pop']",0.537,0.686,190.97333
91,92,Juice WRLD,Can't Die,"['chicago rap', 'melodic rap']",0.652,0.671,182.92204
92,93,Drake Featuring Giveon,Chicago Freestyle,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0.735,0.449,220.4878
93,94,Polo G Featuring Juice WRLD,Flex,['trap brasileiro'],0.767,0.756,168.0117
94,95,Juice WRLD,Screw Juice,"['chicago rap', 'melodic rap']",0.595,0.528,179.46431
95,96,Gunna Featuring Young Thug,Dollaz On My Head,"['atl hip hop', 'melodic rap', 'rap', 'trap']",0.825,0.458,197.76
96,97,Topic & A7S,Breaking Me,"['german dance', 'pop edm', 'tropical house']",0.789,0.72,166.79388
97,98,Pop Smoke Featuring Karol G,Enjoy Yourself,['brooklyn drill'],0.773,0.688,197.93814
98,99,Parker McCollum,Pretty Heart,"['contemporary country', 'texas country']",0.562,0.683,244.79773
99,100,J. Cole,The Climb Back,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.61,0.569,304.64
