,Artists,artist_uri,Songs,danceability,energy,genre
148,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,在,0.534,0.403,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
149,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,情歌,0.433,0.337,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
150,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,Intro,0.675,0.209,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
151,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,醜,0.757,0.65,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
152,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,艾瑪,0.52,0.757,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
153,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,鬼,0.452,0.659,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
154,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,山海,0.564,0.676,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
155,No Party For Cao Dong,spotify:artist:3HXSUfI76zVZk71UMAeVfp,我們,0.509,0.503,"['chinese indie', 'taiwan indie', 'taiwan pop', 'taiwan punk']"
156,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Take Me To Church,0.566,0.664,"['irish singer-songwriter', 'pop']"
157,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Angel Of Small Death & The Codeine Scene,0.377,0.638,"['irish singer-songwriter', 'pop']"
158,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Jackie And Wilson,0.566,0.712,"['irish singer-songwriter', 'pop']"
159,Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,Someone New,0.593,0.539,"['irish singer-songwriter', 'pop']"
