,Artists,artist_uri,Songs,danceability,energy,genre
80,Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,Insensatez,0.31,0.403,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']"
81,Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,Wave,0.52,0.416,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']"
82,R. Merescal,spotify:artist:5QVRZzZvjzmYQUbtAwbros,Barquinho,0.685,0.236,[]
83,Antônio Carlos Jobim,spotify:artist:3pO5VjZ4wOHCMBXOvbMISG,Samba De Una Nota So,0.522,0.413,"['adult standards', 'bossa nova', 'brazilian jazz', 'latin classical', 'mpb', 'violao']"
84,Toquinho,spotify:artist:7rPqFVgJYARiFsLDlN6W6y,Turbilaho,0.699,0.336,"['bossa nova', 'mpb', 'samba', 'violao']"
85,Neuza Taixera,spotify:artist:1rEA21C73JkUZViOblOBKJ,O Pato,0.647,0.507,[]
86,Vinícius,spotify:artist:5b2ylVrhm7GKFoUjuNk1Op,Eu Sei Que Vou Te Amar,0.548,0.232,[]
87,Mendoza,spotify:artist:2Lewz10hz3PlHZheu9O39I,Desafinado,0.705,0.411,[]
88,Jorge Ben Jor,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,Mais Que Nada,0.575,0.426,"['bossa nova', 'mangue bit', 'mpb', 'pagode', 'samba', 'samba-rock']"
89,Toquinho,spotify:artist:7rPqFVgJYARiFsLDlN6W6y,Tarde Em Itapuan,0.55,0.311,"['bossa nova', 'mpb', 'samba', 'violao']"
90,Vinícius,spotify:artist:5b2ylVrhm7GKFoUjuNk1Op,Tonga Da Mironga Do Kambulete,0.762,0.559,[]
